species	family	node	filtered_hits	short
Ciona_intestinalis	Mir-92	Bilateria	2	C.intestinalis
Ciona_intestinalis	Mir-96	Bilateria	1	C.intestinalis
Danio_rerio	Let-7	Bilateria	23	D.rerio
Danio_rerio	Mir-1	Bilateria	6	D.rerio
Danio_rerio	Mir-10	Eumetazoa	16	D.rerio
Danio_rerio	Mir-101	Vertebrata	2	D.rerio
Danio_rerio	Mir-103	Deuterostomia	6	D.rerio
Danio_rerio	Mir-122	Vertebrata	1	D.rerio
Danio_rerio	Mir-124	Bilateria	6	D.rerio
Danio_rerio	Mir-126	Olfactores	2	D.rerio
Danio_rerio	Mir-128	Vertebrata	3	D.rerio
Danio_rerio	Mir-129	Chordata	4	D.rerio
Danio_rerio	Mir-130	Vertebrata	9	D.rerio
Danio_rerio	Mir-1306	Gnathostomata	2	D.rerio
Danio_rerio	Mir-132	Vertebrata	4	D.rerio
Danio_rerio	Mir-133	Bilateria	4	D.rerio
Danio_rerio	Mir-135	Chordata	5	D.rerio
Danio_rerio	Mir-137	Bilateria	2	D.rerio
Danio_rerio	Mir-138	Vertebrata	2	D.rerio
Danio_rerio	Mir-1388	Gnathostomata	2	D.rerio
Danio_rerio	Mir-139	Gnathostomata	1	D.rerio
Danio_rerio	Mir-140	Vertebrata	1	D.rerio
Danio_rerio	Mir-142	Vertebrata	2	D.rerio
Danio_rerio	Mir-143	Vertebrata	2	D.rerio
Danio_rerio	Mir-144	Vertebrata	1	D.rerio
Danio_rerio	Mir-145	Vertebrata	2	D.rerio
Danio_rerio	Mir-146	Vertebrata	2	D.rerio
Danio_rerio	Mir-148	Vertebrata	4	D.rerio
Danio_rerio	Mir-15	Olfactores	14	D.rerio
Danio_rerio	Mir-150	Gnathostomata	2	D.rerio
Danio_rerio	Mir-153	Bilateria	5	D.rerio
Danio_rerio	Mir-155	Vertebrata	1	D.rerio
Danio_rerio	Mir-17	Vertebrata	11	D.rerio
Danio_rerio	Mir-1788	Vertebrata	1	D.rerio
Danio_rerio	Mir-181	Vertebrata	12	D.rerio
Danio_rerio	Mir-184	Bilateria	3	D.rerio
Danio_rerio	Mir-187	Osteichthyes	1	D.rerio
Danio_rerio	Mir-19	Vertebrata	7	D.rerio
Danio_rerio	Mir-190	Bilateria	2	D.rerio
Danio_rerio	Mir-191	Gnathostomata	1	D.rerio
Danio_rerio	Mir-192	Vertebrata	3	D.rerio
Danio_rerio	Mir-193	Bilateria	10	D.rerio
Danio_rerio	Mir-194	Vertebrata	4	D.rerio
Danio_rerio	Mir-196	Olfactores	5	D.rerio
Danio_rerio	Mir-199	Vertebrata	4	D.rerio
Danio_rerio	Mir-202	Vertebrata	1	D.rerio
Danio_rerio	Mir-203	Vertebrata	2	D.rerio
Danio_rerio	Mir-204	Vertebrata	5	D.rerio
Danio_rerio	Mir-205	Vertebrata	1	D.rerio
Danio_rerio	Mir-208	Vertebrata	1	D.rerio
Danio_rerio	Mir-21	Vertebrata	3	D.rerio
Danio_rerio	Mir-210	Bilateria	1	D.rerio
Danio_rerio	Mir-214	Gnathostomata	1	D.rerio
Danio_rerio	Mir-216	Bilateria	4	D.rerio
Danio_rerio	Mir-217	Chordata	2	D.rerio
Danio_rerio	Mir-218	Vertebrata	4	D.rerio
Danio_rerio	Mir-2184	Gnathostomata	2	D.rerio
Danio_rerio	Mir-2188	Gnathostomata	1	D.rerio
Danio_rerio	Mir-219	Bilateria	6	D.rerio
Danio_rerio	Mir-22	Bilateria	5	D.rerio
Danio_rerio	Mir-221	Vertebrata	5	D.rerio
Danio_rerio	Mir-223	Vertebrata	2	D.rerio
Danio_rerio	Mir-23	Vertebrata	6	D.rerio
Danio_rerio	Mir-24	Vertebrata	6	D.rerio
Danio_rerio	Mir-26	Vertebrata	5	D.rerio
Danio_rerio	Mir-27	Vertebrata	6	D.rerio
Danio_rerio	Mir-29	Bilateria	7	D.rerio
Danio_rerio	Mir-30	Vertebrata	7	D.rerio
Danio_rerio	Mir-31	Bilateria	1	D.rerio
Danio_rerio	Mir-33	Bilateria	1	D.rerio
Danio_rerio	Mir-338	Vertebrata	5	D.rerio
Danio_rerio	Mir-34	Bilateria	6	D.rerio
Danio_rerio	Mir-375	Bilateria	2	D.rerio
Danio_rerio	Mir-425	Gnathostomata	1	D.rerio
Danio_rerio	Mir-451	Vertebrata	1	D.rerio
Danio_rerio	Mir-455	Vertebrata	3	D.rerio
Danio_rerio	Mir-456	Vertebrata	2	D.rerio
Danio_rerio	Mir-458	Osteichthyes	1	D.rerio
Danio_rerio	Mir-459	Vertebrata	1	D.rerio
Danio_rerio	Mir-460	Osteichthyes	4	D.rerio
Danio_rerio	Mir-489	Osteichthyes	2	D.rerio
Danio_rerio	Mir-499	Vertebrata	2	D.rerio
Danio_rerio	Mir-551	Vertebrata	1	D.rerio
Danio_rerio	Mir-7	Bilateria	5	D.rerio
Danio_rerio	Mir-7147	Osteichthyes	1	D.rerio
Danio_rerio	Mir-722	Osteichthyes	3	D.rerio
Danio_rerio	Mir-725	Gnathostomata	2	D.rerio
Danio_rerio	Mir-726	Osteichthyes	2	D.rerio
Danio_rerio	Mir-727	Osteichthyes	2	D.rerio
Danio_rerio	Mir-737	Osteichthyes	1	D.rerio
Danio_rerio	Mir-8	Bilateria	6	D.rerio
Danio_rerio	Mir-9	Bilateria	7	D.rerio
Danio_rerio	Mir-92	Bilateria	4	D.rerio
Danio_rerio	Mir-96	Bilateria	3	D.rerio
Eptatretus_burgeri	Let-7	Bilateria	8	E.burgeri
Eptatretus_burgeri	Mir-1	Bilateria	5	E.burgeri
Eptatretus_burgeri	Mir-10	Eumetazoa	4	E.burgeri
Eptatretus_burgeri	Mir-122	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-124	Bilateria	2	E.burgeri
Eptatretus_burgeri	Mir-126	Olfactores	1	E.burgeri
Eptatretus_burgeri	Mir-128	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-129	Chordata	2	E.burgeri
Eptatretus_burgeri	Mir-130	Vertebrata	6	E.burgeri
Eptatretus_burgeri	Mir-132	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-133	Bilateria	6	E.burgeri
Eptatretus_burgeri	Mir-135	Chordata	3	E.burgeri
Eptatretus_burgeri	Mir-137	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-138	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-140	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-142	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-143	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-144	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-145	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-146	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-148	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-15	Olfactores	2	E.burgeri
Eptatretus_burgeri	Mir-153	Bilateria	3	E.burgeri
Eptatretus_burgeri	Mir-155	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-17	Vertebrata	5	E.burgeri
Eptatretus_burgeri	Mir-1788	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-181	Vertebrata	4	E.burgeri
Eptatretus_burgeri	Mir-19	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-190	Bilateria	2	E.burgeri
Eptatretus_burgeri	Mir-192	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-193	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-194	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-196	Olfactores	2	E.burgeri
Eptatretus_burgeri	Mir-199	Vertebrata	2	E.burgeri
