family	species	short	node	fpc	fnc	model	difference
Mir-153	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-155	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-1662	Alligator_mississippiensis	ami	Tetrapoda	0	0	mirmachine	NA
Mir-1677	Alligator_mississippiensis	ami	Diapsida	53	1	mirmachine	1
Mir-17	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-1720	Alligator_mississippiensis	ami	Diapsida	0	0	mirmachine	NA
Mir-1788	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-1805	Alligator_mississippiensis	ami	Tetrapoda	0	0	mirmachine	NA
Mir-181	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-184	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-187	Alligator_mississippiensis	ami	Osteichthyes	0	0	mirmachine	NA
Mir-19	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-190	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-191	Alligator_mississippiensis	ami	Gnathostomata	0	0	mirmachine	NA
Mir-192	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-193	Alligator_mississippiensis	ami	Bilateria	1	0	mirmachine	1
Mir-194	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-196	Alligator_mississippiensis	ami	Olfactores	0	0	mirmachine	NA
Mir-199	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-202	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-203	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-204	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-205	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-208	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-21	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-210	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-214	Alligator_mississippiensis	ami	Gnathostomata	0	0	mirmachine	NA
